PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,DOLLAR PER SQUARE FEET,HOA PER MONTH,URL,LATITUDE,LONGITUDE
Townhouse,4002 Cherry Blossom Cir,Durham,NC,27713,419000,3,2.5,Thaxton Place Townhomes,2180,2178,2003,15,192,170,https://www.redfin.com/NC/Durham/4002-Cherry-Blossom-Cir-27713/home/43590860,35.9420724,-78.9303948
Single Family Residential,913 S South Bend Dr,Durham,NC,27713,729900,3,2,The Hills at Southpoint,2249,8276,2011,16,325,83,https://www.redfin.com/NC/Durham/913-South-Bend-Dr-27713/home/43613073,35.8811621,-78.9449407
Townhouse,124 Poppy Trl,Durham,NC,27713,290000,3,2,The Ridges at Parkwood,1378,1742,1983,1,210,269,https://www.redfin.com/NC/Durham/124-Poppy-Trl-27713/home/43557480,35.8932565,-78.9165253
Townhouse,904 Romeria Dr,Durham,NC,27713,374900,3,2.5,Townes at Courtney Creek,1740,1742,2023,1,215,126,https://www.redfin.com/NC/Durham/904-Romeria-Dr-27713/home/182393785,35.949275,-78.892009
Townhouse,926 Romeria Dr,Durham,NC,27713,409999,3,2.5,Townes at Courtney Creek,1946,2178,2023,3,211,126,https://www.redfin.com/NC/Durham/926-Romeria-Dr-27713/home/182393775,35.9486671,-78.8920622
Townhouse,1349 Chowan Ave,Durham,NC,27713,369990,3,3,Townes at Courtney Creek,1917,2178,2025,17,193,120,https://www.redfin.com/NC/Durham/1349-Chowan-Ave-27713/home/195547361,35.9469565,-78.8930232
Single Family Residential,8 Wexford Dr,Durham,NC,27713,475000,3,2.5,Windsor Oaks,1889,7840,1988,8,251,20,https://www.redfin.com/NC/Durham/8-Wexford-Dr-27713/home/43552960,35.9310531,-78.9364248
Single Family Residential,12 Byerly Ct,Durham,NC,27713,370000,3,2.5,Woodcreek,1222,5227,1998,6,303,25,https://www.redfin.com/NC/Durham/12-Byerly-Ct-27713/home/43594516,35.9194875,-78.9137482
Townhouse,200 W Woodcroft Pkwy Unit 52a,Durham,NC,27713,289000,2,2,Woodcroft,1060,1742,1984,1,273,225,https://www.redfin.com/NC/Durham/200-W-Woodcroft-Pkwy-27713/unit-52A/home/193798955,35.9248685,-78.9314778
Single Family Residential,14 Striding Ridge Ct,Durham,NC,27713,500000,4,2,Woodcroft,1818,10018,1987,2,275,29,https://www.redfin.com/NC/Durham/14-Striding-Ridge-Ct-27713/home/43555632,35.93343,-78.9244374
Single Family Residential,4 Barkridge Ct,Durham,NC,27713,620000,5,3,Woodcroft,2622,12196,1985,1,236,29,https://www.redfin.com/NC/Durham/4-Barkridge-Ct-27713/home/43552344,35.9242255,-78.9459644
Single Family Residential,11 Bridgeport Dr,Durham,NC,27713,565000,4,2.5,Woodlake,1736,7405,1994,13,325,34,https://www.redfin.com/NC/Durham/11-Bridgeport-Dr-27713/home/43555037,35.9222806,-78.9172253
Townhouse,3114 Courtney Creek Blvd,Durham,NC,27713,300000,2,2.5,Wynterfield,1293,1307,2008,20,232,120,https://www.redfin.com/NC/Durham/3114-Courtney-Creek-Blvd-27713/home/43610598,35.9443984,-78.8881239
Townhouse,2705 Wyntercrest Ln,Durham,NC,27713,300000,2,2.5,Wynterfield,1664,1307,2005,14,180,90,https://www.redfin.com/NC/Durham/2705-Wyntercrest-Ln-27713/home/43600496,35.9430565,-78.8901487
Townhouse,2713 Wyntercrest Ln,Durham,NC,27713,325000,2,2.5,Wynterfield,1291,1742,2006,15,252,90,https://www.redfin.com/NC/Durham/2713-Wyntercrest-Ln-27713/home/43604748,35.9429179,-78.8902555
